Edgardo Amos Auro
Arnaldo Evan Arrigo
Ugo Ambrogio Isaia
Innocenzo Olindo Igor
Adrio Epis Edoardo
Angelo Ezechiele Arsenio
Enrico Abramo Afro
Emanuel Evaristo Odone
Abramo Ascanio Edipo
Amedeo Orazio Ambrogio
Ivan Olo Albano
Eugenio Emidio Anastasio
Aquilino Ayrton Erberto
Amerigo Oronzo Augusto
Audenico Oronzo Innocenzo
Achille Aleandro Enea
Ivan Ernelio Adrio
Enea Ernesto Arcadio
Ottavio Ottaviano Osvaldo
Efisio Indro Ivano
Audenico Arcibaldo Osvaldo
Arrigo Elia Alessio
Igor Ayrton Alvise
Albino Emiliano Anselmo
Aaron Arsenio Ulrico
Adam Artemio Arnaldo
Onofrio Arsenio Olaf
Imer Elvezio Onofrio
Adriano Eustachio Astolfo
Archimede Alfonso Edmondo
Arnaldo Emanuel Olo
Imer Emiliano Isacco
Alberico Irio Olindo
Aaron Alan Innocente
Igor Eriberto Ione
Elvis Elia Ivano
Aquilino Antonello Oliviero
Onofrio Amerigo Egisto
Ilario Ernelio Edipo
Ezio Odone Elvezio
Ambrogio Italo Igino
Amoris Achille Alceste
Evaristo Ilario Oronzo
Aniello Eusebio Ilan
Antonino Orlando Alarico
Azad Ermens Ulisse
Adriano Ottavio Azad
Adamo Arduino Erasmo
Alighieri Ulrico Olmo
Eligio Ilan Eronaldo
Antonio Innocente Amerigo
Alfonso Everardo Efisio
Eligio Evan Emidio
Orazio Anastasio Edipo
Aroldo Aaron Anastasio
Amerigo Eronaldo Euplemio
Oliviero Agostino Aureliano
Alex Oliviero Enea
Elio Artes Eros
Odino Innocente Aulo
Onofrio Ubertino Oliver
Adamo Ermanno Amedeo
Eliano Oliver Arcadio
Ione Amilcare Ennio
Arcibaldo Alceste Eros
Enzo Aleandro Aquilino
Adelio Orfeo Artemio
Orio Aldo Emidio
Amoris Arturo Ivo
Omar Ismaele Alfonso
Elio Aldo Archimede
Ettore Orazio Eustachio
Ulrico Edmondo Elvis
Anastasio Avide Euplemio
Alfonso Onorio Asdrubale
Onorio Artes Emidio
Aloisio Albino Aniello
Alvaro Aimone Arturo
Italo Innocente Adolfo
Arnaldo Emilio Angelino
Oronzo Aaron Angelino
Egidio Edgardo Arnaldo
Eriberto Ermes Emilio
Amilcare Ulisse Innocente
Astolfo Emanuel Aquilino
Alighiero Alfredo Antimo
Ivo Aureliano Eusebio
Eriberto Irio Elvio
Audenico Anselmo Irio
Innocenzo Edmondo Olo
Alighiero Albenzio Onorio
Agrippa Alarico Osvaldo
Oliviero Avide Olindo
Ambrogio Amerigo Ezio
Annibale Alan Elvio
Ercole Emiliano Innocente
Orfeo Alberico Egisto
Alvise Alcide Ermes
Ezechiele Aleandro Angelino
Edmondo Ippolito Evan
